subject,file,condition,fs,duration_s,eeg_units,ecg_units,n_beats,n_valid_rr,beat_coverage,hr_whole,rmssd_whole,r_amp_mV,ecg_std_mV,eeg_std_uV_median
Subject17,Subject17_2.edf,task,500.0,62.0,uV,mV,106,105,0.9650967741935483,105.28778661675247,13.845299118918144,0.2830182929732204,0.07936278595513123,9.399128206528895
Subject18,Subject18_1.edf,baseline,500.0,182.0,uV,mV,262,261,0.9821428571428571,87.60839160839161,21.898015364937887,0.6402508031128404,0.14875535465346393,8.223060629376988
Subject18,Subject18_2.edf,task,500.0,62.0,uV,mV,116,114,0.9522903225806452,115.84973408759865,13.175466608586573,0.5906578957198443,0.14014159326028475,6.456304158626757
Subject19,Subject19_1.edf,baseline,500.0,182.0,uV,mV,209,208,0.9867582417582417,69.49161980065706,37.23174584344342,0.3704984852368963,0.09129041072938705,9.958371076378581
Subject19,Subject19_2.edf,task,500.0,62.0,uV,mV,85,84,0.9525806451612903,85.33694547917374,19.499768302607848,0.4011350051270313,0.09672663767939131,7.738169892641854
Subject20,Subject20_1.edf,baseline,500.0,182.0,uV,mV,236,235,0.9874175824175823,78.45974069333928,36.08015767395924,0.4219315426108187,0.09426549143930243,9.237513576069013
Subject20,Subject20_2.edf,task,500.0,62.0,uV,mV,107,73,0.5838709677419355,120.99447513812154,,0.02786631876096742,0.01652088549647661,10.161961067489669
Subject21,Subject21_1.edf,baseline,500.0,182.0,uV,mV,219,218,0.9872307692307691,72.79770253122287,63.401725543106814,0.620402914259556,0.12272346905732374,11.138314509101528
Subject21,Subject21_2.edf,task,500.0,62.0,uV,mV,91,90,0.9625483870967743,90.48560608599483,38.9618078624455,0.5341241388189517,0.10626144117872056,7.988748794176282
Subject22,Subject22_1.edf,baseline,500.0,182.0,uV,mV,245,244,0.986054945054945,81.57715839564922,30.489018464254485,0.6368135970473792,0.11952969960294456,11.060669930846895
Subject22,Subject22_2.edf,task,500.0,62.0,uV,mV,104,103,0.9615483870967741,103.6634460547504,13.79258112601281,0.6023571233386741,0.11381513628444431,10.287190300248575
Subject23,Subject23_1.edf,baseline,500.0,182.0,uV,mV,275,273,0.9868571428571429,91.19861030689057,23.306146626763802,0.40106784341191726,0.07325251919992594,11.461577178459782
Subject23,Subject23_2.edf,task,500.0,62.0,uV,mV,97,96,0.9615161290322581,96.621598953266,20.71968298883753,0.4002923619134813,0.07555883070311395,10.136821034759027
Subject24,Subject24_1.edf,baseline,500.0,182.0,uV,mV,186,186,0.9934615384615385,61.722249875559974,49.6105917200239,0.35708536287479975,0.10416227413273828,7.91082819725975
Subject24,Subject24_2.edf,task,500.0,62.0,uV,mV,64,63,0.948,64.31196406696611,43.67918231539988,0.34925874863813233,0.1021995231041506,7.877724103112351
Subject25,Subject25_1.edf,baseline,500.0,182.0,uV,mV,258,257,0.9888131868131868,85.68380342735215,28.049899732441595,0.5706194524147402,0.12639967216032705,12.935580743801186
Subject25,Subject25_2.edf,task,500.0,62.0,uV,mV,104,104,0.9604838709677419,104.78589420654913,13.738189985499075,0.5248776401159685,0.13289851224627475,12.838060667887635
Subject26,Subject26_1.edf,baseline,500.0,182.0,uV,mV,186,184,0.9825494505494506,61.73667964031674,68.74910588829275,0.4859253112840467,0.10276066080962475,7.754736568047105
Subject26,Subject26_2.edf,task,500.0,62.0,uV,mV,86,84,0.9350967741935484,86.93252380295296,37.88493490403474,0.4534272636301213,0.09831437133347236,8.24382653163865
Subject27,Subject27_1.edf,baseline,500.0,182.0,uV,mV,170,169,0.9904945054945057,56.24895989349309,60.582600612767436,0.8834480560311285,0.13281977020697142,8.28594415339314
Subject27,Subject27_2.edf,task,500.0,62.0,uV,mV,70,69,0.9645806451612904,69.22613871981807,50.68309500615523,0.869064050843061,0.14174104223706974,7.527940375397536
Subject28,Subject28_1.edf,baseline,500.0,182.0,uV,mV,199,199,0.9915934065934068,66.16058070593449,94.82221535722766,0.16966569024185546,0.06250968908132949,11.065353716546413
Subject28,Subject28_2.edf,task,500.0,62.0,uV,mV,95,94,0.956516129032258,95.10319708619993,38.356000778221315,0.15787037134355686,0.060692506333618404,8.870147612945278
Subject29,Subject29_1.edf,baseline,500.0,182.0,uV,mV,214,204,0.9306593406593406,72.26354941551541,82.6059080248455,0.5537748894178683,0.1165502276425824,11.354776959366701
Subject29,Subject29_2.edf,task,500.0,62.0,uV,mV,89,87,0.9527741935483871,88.36673889490791,35.86667819371038,0.5295314134126803,0.11402465323444289,10.373333615793003
Subject30,Subject30_1.edf,baseline,500.0,182.0,uV,mV,242,241,0.9875714285714285,80.45043340862811,32.83138742118615,0.5742844352483405,0.0948224859200815,8.08152146288037
Subject30,Subject30_2.edf,task,500.0,62.0,uV,mV,86,84,0.9499677419354838,85.57166627050155,25.78222045453474,0.5672802102082857,0.10192644112770528,9.134126251659987
Subject31,Subject31_1.edf,baseline,500.0,80.0,uV,mV,81,81,0.970875,62.572421784472766,33.201656585176686,0.25830785561913483,0.09855436716442371,8.64292511395929
Subject31,Subject31_2.edf,task,500.0,62.0,uV,mV,68,68,0.9823548387096775,66.9884740419663,58.689672106259536,0.22154528114747848,0.09415040698774228,8.443407435553974
Subject32,Subject32_1.edf,baseline,500.0,182.0,uV,mV,243,242,0.9872087912087912,80.81392760140702,17.120514980426034,0.5889710573586634,0.11503775597848931,10.55832612915604
Subject32,Subject32_2.edf,task,500.0,62.0,uV,mV,89,88,0.9661290322580645,88.14691151919867,18.4116404958141,0.6156315571526665,0.12073133121059744,9.863660835049274
Subject33,Subject33_1.edf,baseline,500.0,182.0,uV,mV,284,284,0.986813186813187,94.87750556792872,32.19705229797343,0.16027794245822843,0.049496493326436915,9.124900460845593
Subject33,Subject33_2.edf,task,500.0,62.0,uV,mV,101,101,0.9591290322580645,101.90697205125619,31.57784033147337,0.152511088845655,0.046945988598204494,8.047344807738016
Subject34,Subject34_1.edf,baseline,500.0,182.0,uV,mV,224,221,0.9764835164835166,74.61174881836595,35.60589581114043,0.30218210366979475,0.08733183234356619,11.502094221525194
Subject34,Subject34_2.edf,task,500.0,62.0,uV,mV,90,89,0.9623548387096775,89.49820668387355,31.47654249234913,0.3122616117799649,0.08562878838684565,9.682868917547253
Subject35,Subject35_1.edf,baseline,500.0,182.0,uV,mV,241,240,0.9857142857142855,80.2675585284281,65.29610700461541,0.5238603681239034,0.11610233747271904,8.683398479408615
Subject35,Subject35_2.edf,task,500.0,62.0,uV,mV,110,62,0.47464516129032275,126.41022155770011,,0.025209139391165033,0.01895082372533907,8.638459951486295
