file,n_signals,duration_s,start,fs_set,ecg_labels,ecg_dim,eeg_dim,ecg_std,ecg_absmax,eeg0_std,labels
Subject06_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11691834828057478,0.9850200000000001,7.155965721724328,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject06_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.08847357772090858,0.4101999999999999,13.709190768258406,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject07_1.edf,21,182.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.06026664492855011,0.35286999999999996,8.382230377414533,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject07_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.06059395307193257,0.3363676113984894,12.272721397532894,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject08_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.16732773945688337,0.9503890000000002,8.370442826646162,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject08_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.1652825694178912,0.8418159335622186,11.425613151750104,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject09_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.14716003190384744,0.760757,7.887717726572277,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject09_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.1484633097300232,0.756425,9.327662100289729,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject10_1.edf,21,188.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11935617127645431,0.71542,8.411275714978785,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject10_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.12579574056109535,0.7222476618905929,9.165363977457268,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject11_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.24666763258927635,4.643341,10.45971520374806,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject11_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11332086815349666,0.72763,7.052618199177513,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject12_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.13613395897898148,1.3756500000000003,9.428611244701596,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject12_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.12499448156904192,0.659145,8.543021687866373,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject13_1.edf,21,182.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.022273314231762154,0.1017469565880827,7.481275928432937,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject13_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.08084145548015677,0.501993,14.68665283583228,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject14_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10072895841098609,0.457906,16.856754607981916,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject14_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10298340956944899,0.545617,20.912626999791147,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject15_1.edf,21,182.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10663704588651174,0.41975399999999996,10.760784234168938,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject15_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10628931138726726,0.397153,8.306625910738877,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject16_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.08300381891291368,0.41966000000000003,10.289120756044353,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject16_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.08256865699129805,0.4216768036621653,5.872662568161017,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject17_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07463172652120799,0.3792989438925765,7.062174103408423,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject17_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07936278595513123,0.354902,13.0888687581951,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject18_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.14875535465346393,0.722093,6.192825031173801,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject18_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.14014159326028475,0.674437,4.788706319981869,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject19_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09129041072938705,0.45508800000000005,6.991817940533361,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject19_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09672663767939131,0.480388,5.297233649201756,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject20_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09426549143930243,0.4837603015487908,7.212458705347907,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject20_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.01652088549647661,0.06753,11.303078414612669,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject21_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.12272346905732374,0.713683,12.221826229629395,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject21_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10626144117872056,0.619575,10.257766871080864,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject22_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11952969960294456,0.675685,8.398483825422327,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject22_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11381513628444431,0.656066,15.649026606266558,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject23_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07325251919992594,0.47957025693141064,11.985083249927904,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject23_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.07555883070311395,0.474226,12.230110363530494,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject24_1.edf,21,182.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10416227413273828,0.43158,8.888066646086896,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject24_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.1021995231041506,0.38376000000000005,12.438933859944221,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject25_1.edf,21,182.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.12639967216032705,0.681769,19.585003431523525,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject25_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.13289851224627475,0.756871,18.84717094812532,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject26_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10276066080962475,0.8304800000000001,8.23472815783573,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject26_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09831437133347236,0.9039399230487525,11.75614404667128,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject27_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.13281977020697142,0.9676500000000001,10.580262812723452,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject27_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.14174104223706974,0.9499659277637904,9.961419542366642,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject28_1.edf,21,182.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.06250968908132949,0.25755,7.663708228716129,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject28_2.edf,21,62.0,2010-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.060692506333618404,0.27996,14.354440023450964,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject29_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.1165502276425824,0.676063,12.05192791332214,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject29_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11402465323444289,0.6652106647745479,10.287019156028663,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject30_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.0948224859200815,0.6598024686655984,5.438435215530512,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject30_2.edf,21,62.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.10192644112770528,0.720296,13.054286517154623,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject31_1.edf,21,80.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09855436716442371,0.328269,9.558000255978127,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject31_2.edf,21,62.0,2012-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.09415040698774228,0.320624,7.8581235282888215,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
Subject32_1.edf,21,182.0,2011-01-01 00:00:00,[500.0],['ECG ECG'],['mV'],uV,0.11503775597848931,0.698096,9.52468596006373,EEG Fp1|EEG Fp2|EEG F3|EEG F4|EEG F7|EEG F8|EEG T3|EEG T4|EEG C3|EEG C4|EEG T5|EEG T6|EEG P3|EEG P4|EEG O1|EEG O2|EEG Fz|EEG Cz|EEG Pz|EEG A2-A1|ECG ECG
